id,split,pipeline,applicability_correct,citation_valid,checker_correct
forbidden_direct_import_introduced,development,temporal_evidence_aware,1,1,1
legal_approved_boundary,development,temporal_evidence_aware,1,1,1
direct_sdk_outside_adapter,development,temporal_evidence_aware,1,1,1
legal_adapter_use,development,temporal_evidence_aware,1,1,1
accepted_supersedes_old,development,temporal_evidence_aware,1,1,1
unaccepted_comment_no_supersession,development,temporal_evidence_aware,1,1,1
rejected_proposal_non_authoritative,development,temporal_evidence_aware,1,1,1
partial_supersession_legacy_exception,development,temporal_evidence_aware,1,1,1
out_of_scope_unaffected,development,temporal_evidence_aware,1,1,1
unmerged_branch_not_governing,development,temporal_evidence_aware,1,1,1
historical_replay_excludes_future,development,temporal_evidence_aware,1,1,1
unknown_edited_comment_excluded,development,temporal_evidence_aware,1,1,1
supported_rename_lineage,held_out,temporal_evidence_aware,1,1,1
ambiguous_rename_uncertainty,held_out,temporal_evidence_aware,1,1,1
existing_not_introduced,held_out,temporal_evidence_aware,1,1,1
introduced_when_both_fail,held_out,temporal_evidence_aware,1,1,1
resolved_violation,held_out,temporal_evidence_aware,1,1,1
accepted_conflict_abstains,held_out,temporal_evidence_aware,1,1,1
alias_barrel_bypass,held_out,temporal_evidence_aware,1,1,1
nonliteral_dynamic_unsupported,held_out,temporal_evidence_aware,1,1,1
